,Income,Recency,DaysRegistered,AcceptedCmpAll,MntTotal
2021,43815.0,53,3056,0,79
2022,48195.0,53,2765,0,265
2023,77027.0,23,2750,0,1175
2025,32765.0,49,2732,0,46
2026,29672.0,6,3080,0,25
2027,23272.0,29,2861,0,46
2028,49912.0,5,3266,1,874
2029,7500.0,98,3303,0,100
2030,68117.0,80,3082,1,930
2031,67225.0,4,2821,0,868
2032,17649.0,70,2835,0,45
2034,40059.0,82,2880,1,414
2035,60905.0,27,2812,0,392
2036,75330.0,94,3239,0,1109
2037,60689.0,23,2999,0,639
2038,38680.0,97,3064,0,79
2040,49767.0,92,3029,0,692
2042,29009.0,19,2818,0,44
2043,45057.0,80,2816,0,50
2044,37150.0,80,3262,0,467
2045,43020.0,79,2817,0,223
2046,53154.0,50,2626,0,158
2047,65308.0,60,2897,2,1211
2049,81044.0,0,2790,0,1208
2050,32871.0,28,3083,0,43
2051,55801.0,35,2886,1,527
2052,76320.0,49,2613,0,932
2053,36927.0,46,2633,0,71
2054,48794.0,97,2609,0,54
2055,23478.0,51,3073,0,129
2057,70179.0,10,2949,0,1034
2060,38361.0,74,2790,0,137
2062,70038.0,54,2853,0,1244
2063,42554.0,93,3139,0,41
2064,67445.0,63,3292,0,1174
2066,42192.0,40,2902,0,100
2067,77610.0,70,3214,0,1680
2068,31761.0,96,2691,0,98
2069,34350.0,81,2859,0,48
2070,54591.0,63,2934,0,519
2072,25293.0,51,2893,0,37
2073,42000.0,23,3141,0,653
2074,69520.0,95,2963,0,1455
2075,64713.0,11,2748,0,602
2076,27889.0,42,2965,0,26
2077,22123.0,77,2700,0,102
2080,27803.0,40,3278,0,176
2082,51651.0,32,3205,0,433
2083,68487.0,48,3138,0,1366
2085,56796.0,24,3104,0,1001
2086,87000.0,61,3167,0,961
2087,79823.0,6,2696,1,1518
2088,30828.0,16,2874,0,56
2089,34109.0,39,2841,0,22
2090,53367.0,2,2908,0,400
2091,22390.0,49,2857,0,26
2092,71322.0,31,2664,0,350
2094,49912.0,5,3266,1,874
2095,48699.0,90,3010,0,40
2097,54252.0,25,3003,0,264
2099,76068.0,67,3183,2,1376
2100,53204.0,40,2707,0,45
2101,67911.0,63,2644,0,976
2102,14796.0,1,3256,0,51
2103,78128.0,89,2736,2,1264
2104,14188.0,40,3092,0,75
2105,20425.0,5,3214,0,57
2106,58646.0,3,2990,0,140
2107,72967.0,1,3167,1,497
2108,48150.0,24,2992,0,266
2110,58275.0,48,2998,0,615
2111,44953.0,31,3161,1,1021
2112,34587.0,68,2650,0,22
2113,43018.0,46,2846,0,133
2114,45736.0,92,2946,0,437
2115,66476.0,80,2813,0,1013
2116,27733.0,16,2913,0,57
2117,69805.0,50,2765,0,1038
2119,25818.0,51,3225,0,28
2120,37509.0,24,3261,0,123
2121,25176.0,79,2929,0,13
2122,43586.0,26,3274,0,132
2124,50116.0,68,2615,1,66
2125,84906.0,98,2874,3,1631
2126,61286.0,34,2937,0,608
2127,82333.0,60,3062,1,1822
2128,65220.0,3,3270,0,1282
2129,33590.0,65,2844,0,8
2130,30992.0,83,3039,0,43
2133,16005.0,69,3290,0,103
2135,58692.0,21,2690,0,395
2136,40590.0,30,2876,1,258
2137,20587.0,39,2655,0,25
2138,62637.0,76,2726,0,185
2139,29435.0,11,3298,0,180
2140,19346.0,26,2756,0,22
2141,35788.0,34,2763,0,44
2142,36997.0,72,3119,0,94
2143,23539.0,13,2727,0,81
2144,65333.0,58,2769,2,798
2145,78499.0,12,2824,1,1334
2146,29732.0,23,2702,0,38
2147,41275.0,33,2703,0,61
2148,63516.0,30,2964,0,300
2149,42769.0,15,2866,0,88
2150,49572.0,25,2802,0,54
2152,17148.0,80,2758,0,68
2153,40590.0,30,2876,1,258
2154,30560.0,6,2973,0,31
2155,32146.0,16,2654,0,66
2156,41713.0,57,2667,0,174
2157,34176.0,9,2764,0,28
2158,58482.0,59,2715,1,731
2159,59686.0,78,2761,0,274
2161,62994.0,74,2723,0,312
2162,47320.0,10,2938,0,414
2163,74859.0,63,2997,1,1565
2164,15253.0,13,2850,0,29
2165,31560.0,98,2976,0,94
2169,41967.0,66,2824,0,54
2170,69263.0,14,2722,1,568
2171,65706.0,77,2972,3,1199
2174,65210.0,25,2717,2,731
2177,48432.0,3,3225,0,424
2179,38946.0,84,2854,0,257
2180,26067.0,49,2843,0,56
2181,44325.0,69,3085,1,542
2182,42523.0,96,2673,0,125
2183,26487.0,23,3011,0,69
2184,53233.0,18,2709,0,40
2185,67716.0,8,3141,1,1016
2186,76234.0,21,2749,1,907
2189,25224.0,36,2711,0,46
2190,89616.0,36,3095,0,1644
2191,40851.0,63,3099,0,59
2192,27469.0,2,3302,0,17
2194,73803.0,61,3303,1,1528
2195,8820.0,52,3070,0,35
2196,43322.0,25,2675,0,141
2197,55593.0,63,2918,1,546
2198,50501.0,10,2982,1,500
2199,37085.0,65,2609,0,61
2200,16185.0,71,2934,0,106
2201,57731.0,0,3189,0,704
2202,48432.0,3,3225,0,424
2203,73807.0,88,3149,0,849
2204,18929.0,15,3104,0,85
2205,35893.0,80,3228,0,199
2206,61014.0,17,3293,0,1147
2207,32144.0,76,2704,1,54
2208,14918.0,52,3175,0,43
2209,45146.0,28,2955,0,53
2210,41769.0,31,3107,0,521
2212,38054.0,24,2665,0,45
2213,80617.0,42,3231,0,1435
2215,36807.0,88,3162,0,16
2216,28427.0,67,3071,0,52
2218,22775.0,40,2981,0,15
2219,40101.0,73,3229,0,415
2220,58025.0,81,2821,0,470
2221,75777.0,12,2966,2,1438
2222,7500.0,7,3024,0,53
2223,33562.0,33,2610,0,51
2224,57642.0,24,2777,1,679
2225,58554.0,55,3247,0,586
2226,63777.0,87,3068,0,653
2227,57967.0,39,3089,0,468
2229,24434.0,9,2648,0,50
2230,11012.0,82,3076,1,84
2231,44802.0,71,3283,0,1049
2232,26816.0,50,3287,0,22
2234,34421.0,81,2969,0,30
2236,64014.0,56,2625,1,444
2237,56981.0,91,2761,1,1241
2238,69245.0,8,2762,0,843
2239,52869.0,40,3228,0,172
